,出现次数,召回率,查准率,f1-score
禁销/易燃易爆品-烛台,1.0,0.0,0.0,0.0
涉政-防晒袖套,1.0,0.0,0.0,0.0
禁销/暴力血腥-更多日用品,1.0,0.0,0.0,0.0
禁销/毒品-宽沿帽/太阳帽,1.0,0.0,0.0,0.0
禁销/毒品-帽子,1.0,0.0,0.0,0.0
禁销/毒品-床品套件/四件套/多件套,1.0,0.0,0.0,0.0
禁销/毒品-牛仔长裤,1.0,0.0,0.0,0.0
禁销/毒品-笔记本个性小贴纸,1.0,0.0,0.0,0.0
禁销/电子类违禁产品-CPU,1.0,0.0,0.0,0.0
禁销/电子类违禁产品-USB HUB/转换器,1.0,0.0,0.0,0.0
禁销/电子类违禁产品-其他水具,1.0,0.0,0.0,0.0
禁销/电子类违禁产品-平板电脑/MID,1.0,0.0,0.0,0.0
禁销/电子类违禁产品-手提秤/挂秤,1.0,0.0,0.0,0.0
禁销/电子类违禁产品-手机充电器,1.0,0.0,0.0,0.0
禁销/宗教-脚链,1.0,1.0,0.0714,0.1333
禁销/宗教-空气净化/氧吧,1.0,0.0,0.0,0.0
