,出现次数,召回率,查准率,f1-score
hugo_boss-短袖Polo衫,14.0,1.0,1.0,1.0
gucci-项链,14.0,1.0,0.2593,0.4118
kenzo_takada-短袖T恤,14.0,0.8571,0.9231,0.8889
nike-凉鞋,13.0,0.8462,0.2821,0.4231
converse-休闲鞋,13.0,1.0,0.5909,0.7429
fila-女士跑步鞋,13.0,0.8462,0.5789,0.6875
kenzo_takada-时尚/休闲套装,13.0,1.0,1.0,1.0
nike-男运动长裤,13.0,1.0,0.9286,0.963
puma-Polo衫,13.0,0.9231,1.0,0.96
adidas-打底裤,13.0,1.0,0.9286,0.963
louis_vuitton-短袖T恤,13.0,0.7692,0.625,0.6897
le_coq_sportif-短袖Polo衫,13.0,0.0,0.0,0.0
versace-男士跑步鞋,13.0,1.0,0.65,0.7879
christian_dior-拎包/手提包,13.0,1.0,0.7222,0.8387
thrasher-短袖T恤,13.0,0.6923,1.0,0.8182
hermes-手拿包,13.0,0.9231,1.0,0.96
versace-长袖衬衫,13.0,0.9231,0.5455,0.6857
louis_vuitton-项链,13.0,0.7692,0.7692,0.7692
burberry-男士背包,13.0,0.9231,1.0,0.96
minions-马克杯,13.0,0.0,0.0,0.0
gucci-彩色太阳镜,13.0,1.0,0.8125,0.8966
louis_vuitton-拎包/手提包,13.0,1.0,0.2407,0.3881
fendi-拎包/手提包,13.0,1.0,0.5652,0.7222
balenciaga-休闲鞋,13.0,1.0,0.4483,0.619
tory_burch-斜挎小包,12.0,0.5833,0.7,0.6364
stone_island-短袖Polo衫,12.0,0.5833,1.0,0.7368
prada-宽沿帽/太阳帽,12.0,1.0,0.8571,0.9231
gucci-乐福鞋/单鞋,12.0,1.0,0.5455,0.7059
louis_vuitton-单肩包,12.0,1.0,0.2553,0.4068
louis_vuitton-斜挎小包,12.0,1.0,0.25,0.4
burberry-腰包/胸包,12.0,1.0,0.8571,0.9231
thom_browne-休闲鞋,12.0,0.1667,1.0,0.2857
cartier-电子表,12.0,1.0,1.0,1.0
balenciaga-拎包/手提包,12.0,1.0,0.6316,0.7742
the_north_face-时尚/休闲套装,12.0,0.9167,1.0,0.9565
hugo_boss-休闲长裤,12.0,1.0,1.0,1.0
hugo_boss-Polo衫,12.0,1.0,1.0,1.0
pandora-手链,12.0,1.0,1.0,1.0
christian_dior-项链,12.0,0.9167,0.7333,0.8148
fendi-连体泳衣,12.0,0.8333,1.0,0.9091
nike-男士足球服,12.0,1.0,0.75,0.8571
louis_vuitton-腰包/胸包,12.0,1.0,0.75,0.8571
gucci-男士跑步鞋,11.0,0.8182,0.225,0.3529
gucci-男士背包,11.0,1.0,0.6471,0.7857
tommy_hilfiger-鸭舌帽,11.0,1.0,0.8462,0.9167
gucci-夹克/外套,11.0,1.0,0.7333,0.8462
mlb-短袖衬衫,11.0,1.0,1.0,1.0
off_white-斜挎小包,11.0,1.0,1.0,1.0
franco_moschino-时尚/休闲套装,11.0,1.0,1.0,1.0
adidas-连体短裤,11.0,1.0,1.0,1.0
adidas-户外面罩,11.0,1.0,1.0,1.0
bottega_veneta-高跟凉鞋,11.0,0.3636,0.8,0.5
nike-打底裤,11.0,1.0,0.7857,0.88
nike-鸭舌帽,11.0,1.0,0.5238,0.6875
armani-休闲短裤,11.0,1.0,1.0,1.0
mickey_mouse-女士睡衣/家居服套装,11.0,0.8182,1.0,0.9
christian_dior-休闲短裤,11.0,1.0,1.0,1.0
balenciaga-无模特套装,11.0,1.0,1.0,1.0
supreme-休闲鞋,11.0,0.9091,0.25,0.3922
nike-男运动中长裤、短裤,11.0,1.0,0.7333,0.8462
nba-男运动中长裤、短裤,11.0,1.0,1.0,1.0
cartelo-时尚/休闲套装,11.0,0.0,0.0,0.0
versace-短袖衬衫,11.0,1.0,0.6875,0.8148
prada-短袖T恤,11.0,1.0,1.0,1.0
burberry-男式钱包,11.0,1.0,0.8462,0.9167
prada-手提包,11.0,1.0,1.0,1.0
chanel-鸭舌帽,11.0,1.0,0.8462,0.9167
burberry-连衣裙,11.0,0.6364,1.0,0.7778
burberry-时尚拖鞋,11.0,1.0,0.5789,0.7333
arsenal-男士足球服,11.0,0.0909,1.0,0.1667
roblox-T恤,11.0,0.0,0.0,0.0
chanel-苹果手机保护壳/套,11.0,1.0,0.5789,0.7333
